"Thunder Kiss '65","0CF71zaDOJWCynIkW9bSK8","0wY51EfU28wZszAM6kR3Ia",1,43,"5YMOmehjfRxEQcWPuv4ZG8"
"Dog's Gonna Bark At You","6kACVPfCOnqzgfEF5ryl0x","40ObOkEaQKVmcJ6k1W2xMg",1,65,"6RFkVsPmrM4pzlDkFswwJl"
"Jackson","3bhu7P5PfngueRHiB9hjcx","0B4eikFaUJcf3hc6DaSVov",1,41,"6WgOLU1u5rtuOG3pSqihKx"
"Heroine and Cocaine","72o2T9aqYR2PFNYpzYrMmw","62yusTjZ4KOdMc291BFbuL",1,24,"6tGnHofSlIFokj7bh9QiRa"
"Salvation Army","72o2T9aqYR2PFNYpzYrMmw","4u1eopJkfGGDBqqwPAbsqL",1,19,"6tc5nFQeGAA1XcgFG49sSR"
"Nebraska","3eqjTLE0HfPfh78zjh6TqT","6yskFQZNlLYhkchAxELHi6",1,49,"7GDIQqD5pdHCda5rpZ98Ie"
"What It's Like","3SAV1dkldDFgF5iW6Hg7rl","3APVCDFvi77ex2VZxl4pWS",1,61,"0kEQwPz9SrMN8E5iL9cxQL"
"Shadow Of A Soul","6gZq1Q6bdOxsUPUG1TaFbF","6yOWKkrlpmUWOC5yndULeq",1,33,"4fQLxewkCEBrhGwVizkkm0"
"March Rain","3RchxeOVaDXmQRBWeL5CNZ","1LJRZdNhcKvJBZaslynq4h",1,41,"2u5DQDoEHyLJ0tRhLmUm0e"
"Baby's Dead","72o2T9aqYR2PFNYpzYrMmw","5VfGAazk1fVV5jnJ7qHwju",1,7,"0nOG03hTupacqQoTe7HDrH"
"Team","163tK9Wjr9P9DmM0AVK7lm","6rnzvZhe3PA57xKcKLRtJ6",1,56,"15jRg8Ejs7X3JEHw38TSN3"
"Honey","3OsRAKCvk37zwYcnzRf5XF","3wRlU7n3LULfjL0e9RtB5Q",1,54,"52tILLw5fRKqPbe5ps1QLL"
"Automatic Flowers","1lqW59DUEKqvcHc8mVWBtH","4qR92pgYZPRNV6GA9gC7OC",1,33,"5k3SkFI1sAACwnIDVsMk9g"
"Freak On a Leash","3RNrq3jvMZxD9ZyoOZbQOD","0gsiszk6JWYwAyGvaTTud4",1,74,"6W21LNLz9Sw7sUSNWMSHRu"
"Snakes","4RddZ3iHvSpGV4dvATac9X","3VdXq4YQIt3ugs05SjFmsD",1,35,"4sjQUYlkRIjekhD92oXqFp"
"Dayvan Cowboy","2VAvhf61GgLYmC6C8anyX1","0wBiN0fKhy0ywx732SpgUs",1,55,"4Y2W4zKa3q72ztbkA0r8Va"
"Don't Let Go (Love)","5fikk4h5qbEebqK2Fc6e48","3mn8mLqRknZCD8o7Ruy4BN",1,63,"06TuMCjDEYjTOJScCRzmjf"
"3 Inch Horses, Two Faced Monsters","1yAwtBaoHLEDWAnWR87hBT","4FGdH46dS0XB6wXiI8onbB",1,27,"0Auexy73VSJpdTnt3IkGs0"
"Still Sane","163tK9Wjr9P9DmM0AVK7lm","6rnzvZhe3PA57xKcKLRtJ6",1,53,"0t1D6NQt3uhZnam0yg8Wv3"
"Ruiner","0X380XXQSNBYuleKzav5UO","3i13RcPnJ0AkHEamweLGhq",1,42,"1f0yDwWSL8i0VDFF5OWssP"
"Romantic Dreams","6Ghvu1VvMGScGpOUJBAHNH","4PIVdqvL1Rc7T7Vfsr8n8Q",1,50,"23ZfYXdy2deoaf4u1XObHZ"
"Mudshovel - Explicit Album Version","5KDIH2gF0VpelTqyQS7udb","4fLp0YBi1chfMHSBkIeI6w",1,68,"6264zKFgXM13JuRBX4MMyD"
"Those Damned Blue-Collar Tweekers","64mPnRMMeudAet0E62ypkx","2sjF68plsvYE7M3FaMf6rD",1,35,"7sIjZxhdIOKB92n8oaZ4hK"
"Put Your Hands Where My Eyes Could See","1YfEcTuGvBQ8xSD1f53UnK","6nPdlsKWGOFepgMMXTZReP",1,65,"1NHwvBmrUje4L1dxfWnXCH"
"Blow","6LqNN22kT3074XbTVUrhzX","3GhnFolMJn8Ua8KieFZSBQ",1,64,"5FQazQxWUHsJ8QDaXLdFzR"
